1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
2021,9540WNCKBR365TD,110010460651,NICK BARBIERI TRUCKING LLC,365 TODD ROAD,SANTA ROSA,SONOMA,CA,95407,"","",38.387161,-122.728295,NAD83,RELADYNE LLC,945888753,RELADYNE LLC,NO,4247,Petroleum Bulk Terminals,"","","","","","",424710,"","","","","",1321220183976,Ethylbenzene,NO,0000100414,100-41-4,19406,YES,TRI,NO,0,YES,NO,NO,A,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",0.000000
2021,92660NWPRT4321J,110015679372,NEWPORT FAB LLC (DBA TOWERJAZZ),4321 JAMBOREE ROAD,NEWPORT BEACH,ORANGE,CA,92660,"","",33.661960,-117.858450,NAD83,NEWPORT FAB LLC (DBA TOWERJAZZ),110573743,NEWPORT FAB LLC (DBA TOWERJAZZ),NO,334,Computers and Electronic Products,"","","","","","",334413,"","","","","",1321220522205,Ozone,NO,0010028156,10028-15-6,166678,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.000000,0.000000,0.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33996.000000,0.000000,34246.000000,"",PRODUCTION,1.010000
2021,94553RPRDS110WA,110000483227,AIR PRODUCTS & CHEMICALS INC (MARTINEZ-WATERFRONT ROAD),110 WATERFRONT RD GATE 75,MARTINEZ,CONTRA COSTA,CA,94553,"","",38.032767,-122.075940,NAD83,AIR PRODUCTS & CHEMICALS INC,003001070,AIR PRODUCTS & CHEMICALS INC,NO,325,Chemicals,"","","","","","",325120,"","","","","",1321220611584,Propylene,NO,0000115071,115-07-1,29009,NO,TRI,NO,0,NO,NO,NO,R,Pounds,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.000000,0.000000,0.000000,28.000000,0.000000,0.000000,1858998.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1859026.000000,"",PRODUCTION,1.260000
2021,9176WSMMTM288EP,110063999099,SUMMIT MACHINE LLC,2880 E PHILADELPHIA STREET,ONTARIO,SAN BERNARDINO,CA,91761,"","",34.033700,-117.587360,NAD83,BERKSHIRE HATHAWAY INC,000124314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,"","","","","","",332710,"","","","","",1321219736244,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,1,YES,NO,NO,R,Pounds,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147270.000000,0.000000,0.000000,167211.000000,314481.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,314481.000000,3.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,314481.000000,0.000000,0.000000,314484.000000,"",PRODUCTION,1.580000
2021,94553RPRDS110WA,110000483227,AIR PRODUCTS & CHEMICALS INC (MARTINEZ-WATERFRONT ROAD),110 WATERFRONT RD GATE 75,MARTINEZ,CONTRA COSTA,CA,94553,"","",38.032767,-122.075940,NAD83,AIR PRODUCTS & CHEMICALS INC,003001070,AIR PRODUCTS & CHEMICALS INC,NO,325,Chemicals,"","","","","","",325120,"","","","","",1321219998515,Methanol,NO,0000067561,67-56-1,4283,YES,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,6209.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6209.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1374.000000,0.000000,0.000000,1374.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1374.000000,7583.000000,0.000000,0.000000,6209.000000,0.000000,1374.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7583.000000,"",PRODUCTION,1.260000
2021,94510XXNCS3400E,110033145353,VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,3400 E SECOND ST,BENICIA,SOLANO,CA,94510,"","",38.071670,-122.139750,NAD83,VALERO ENERGY CORP,082686916,VALERO ENERGY CORP,NO,324,Petroleum,"","","","","","",324110,"","","","","",1321220475216,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,0.000000,399304.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,399304.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,399304.900000,0.000000,0.000000,399304.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,399304.900000,"",ACTIVITY,0.980000
2021,91706NTNLR262BU,110020517047,NATIONAL READY MIX CONCRETE CO .,2620 BUENA VISTA ST,IRWINDALE,LOS ANGELES,CA,91706,"","",34.118747,-117.983375,NAD83,NATIONAL CEMENT,NA,NATIONAL CEMENT,NO,327,Nonmetallic Mineral Product,"","","","","","",327320,"","","","","",1321219657487,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616,NO,TRI,NO,0,NO,NO,NO,A,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"",0.000000
2021,91352NPLCR11912,110000476994,NUPLA CORP LLC,11912 SHELDON ST,SUN VALLEY,LOS ANGELES,CA,91352,"","",34.240360,-118.392280,NAD83,NA,"",SAUNDERS MIDWEST LLC,NO,325,Chemicals,"","","","","","",325991,"","","","","",1321219812613,Styrene,NO,0000100425,100-42-5,19414,YES,TRI,NO,0,YES,NO,NO,R,Pounds,3824.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4074.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4074.000000,0.000000,0.000000,4074.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4074.000000,"",PRODUCTION,1.250000
2021,9323WMRQZB612WE,110021164354,"MARQUEZ BROTHERS INTERNATIONAL, INC- DAIRY & WHEY PLANT",612 WEST 5TH STREET,HANFORD,KINGS,CA,932305043,"","",36.323470,-119.653443,NAD83,MARQUEZ BROTHERS INTERNATIONAL INC,045233020,MARQUEZ BROTHERS INTERNATIONAL INC,NO,311,Food,"","","","","","",311513,"","","","","",1321219637321,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,N511,649616,NO,TRI,NO,0,NO,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97715.000000,97715.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97715.000000,0.000000,97715.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,97715.000000,97715.000000,"",PRODUCTION,0.960000
2021,93631GRDNN11535,110017432740,GUARDIAN INDUSTRIES LLC,11535 E MOUNTAIN VIEW AVE,KINGSBURG,FRESNO,CA,93631,"","",36.546810,-119.581440,NAD83,KOCH INDUSTRIES INC,006944334,KOCH INDUSTRIES INC,NO,327,Nonmetallic Mineral Product,"","","","","","",327211,"","","","","",1321219697671,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,1,NO,YES,NO,R,Pounds,0.021400,3.504000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.525400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.570000,0.000000,0.000000,0.000000,0.000000,0.000000,12.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.570000,16.095400,0.000000,0.000000,3.525400,12.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.095400,"",PRODUCTION,1.030000
