OBJECTID,ECAPS,UNIT_ID,PARK_NAME,SUP_DIST,LAST_NAME,STREET_NUM,STREET_NAM,CITY,ZIP,FULL_ADDRESS,FAC_PHONE,POOL_PHONE,SR_PHONE,PLANNING_AREA,CLASSIFICATION,SPECIAL_USE,RGNL_LOCAL,AGENCY,GIS_ACRES,INVENTORY_ACRES,COMMUNITY_BLDG,SR_CENTER,GYMNASIUM,AUDITORIUM,POOL_BLDG,NATURE_CTR,BOAT_INSTR_CTR,RESTROOM,CONCESS_STND,MULTIPURPOSE_ROOM,CLASSROOM,LIBRARY,DOG_PARK,BOXING_CLUB,COMPUTER_LAB,WEIGHT_ROOM,EXHIBIT_AREA,MUSEUM,HISTORIC_VALUE,CIVIC_ART,MEMORIAL,THEATER,GIFT_SHOP,SHERIFF_SUB_STATION,PICNIC_SHELTER,GROUP_PICNIC_SHELTER,AMPHITHEATER,TICKET_BOOTH,MAINTENANCE_YARD_BLDG,TRASH_ENCLOSURE,BASEBALL_FIELD,SOFTBALL_FIELD,SOCCER_FIELD,WIFI,SYNTHETIC_SOCCER_FIELD,FUTSAL,FOOTBALL_FIELD,CRICKET_FIELD,MULTIPURPOSE_OVERLAY,TENNIS_COURT,BASKETBALL_FULL,BASKETBALL_HALF,VOLLEYBALL_SAND,VOLLEYBALL_HARD,SHUFFLEBOARD_COURT,HANDBALL_COURT,LAWN_BOWLING,SWIMMING_POOL,WADING_POOL,SPLASH_PAD,FITNESS_ZONE,BOATING_AREA,LAKE,BOAT_RENTAL,SWIM_BEACH,SAILING_AREA,FISHING_LAKE,EQUESTRIAN_BOARDING,TRAIL_STAGING_AREAS,HORSE_DRINKER,HORSE_TIES,HORSE_ARENA,MULTIUSE_TRAIL,HORSE_TRAIL,HIKING_TRAIL,BICYCLE_TRAIL,HORSESHOE_PIT,DISC_GOLF_HOLES,BMX_TRACK,IN_GROUND_SKATE_PARK,ABOVE_GROUND_SKATE_PARK,COMMUNITY_GARDEN,SPECIALTY_GARDEN,CONTROL_AIRPLANE_AREA,MODEL_BOAT_AREA,SHOOTING_RANGE,ANIMAL_EXHIBIT,WILDLIFE_SANCTUARY,PLAY_AREA_2_5_YRS,PLAY_AREA_5_12_YRS,PLAY_AREA_2_12_YRS,GOLF_COURSE_HOLES,PUTTING_GREEN,DRIVING_RANGE,CLUB_HOUSE,BANQUET_ROOM,SNACK_SHOP,COFFEE_SHOP,PRO_SHOP,GOLF_CARTS,CAMPING_TENT,CAMPING_GROUP,CAMPING_RV,RV_DUMP_STATION,SHOWERS,BRBQS,OUTDOOR_KITCHEN,PICNIC_TABLES,DRINKING_FOUNTAINS,TELEPHONE,VENDING_MACHINE,BANNERS_KIOSKS,EDUCATIONAL_SIGNAGE,PLAZA,OUTDOOR_STAGE,MAINTENANCE_YARD,SECURITY_LIGHTING,PARKING_ONSITE,PARKING_OSV,SHARED_PARKING,CEN_LAT,CEN_LON,P_Classification_Count,Special_Use_Count,Amenity_A,Amenity_B,Amenity_C,Amenity_D,Text_A,Text_B,Text_C,Shape__Area,Shape__Length
5895,ACT,45479,Acton Park,5,Acton Park,3751,Syracuse Avenue,Acton,93510,"3751 Syracuse Avenue, Acton, CA  93510",661-722-7780,,,AV,C,,L,N,13.94030553,13.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,34.4726978,-118.19900681,0,0,0,0,0,,,Antelope Valley District,Unincorporated,607237.8125,3152.23824117469
5896,AWS,45411,Acton Wash Wildlife Sanctuary,5,Acton Wash Wildlife Sanctuary,,Soledad Cyn Rd and Wisconsin St,Acton,93510," Soledad Cyn Rd and Wisconsin St, Acton, CA  93510",661-944-6881,,,AV,SU,S,R,R,75.67844982,75.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.46848577,-118.18827115,0,0,0,0,0,,,No District,Unincorporated,3296543.00195313,8859.7601871127
5897,ADV,1282,Adventure Park,4,Adventure Park,10130,South Gunn Avenue,Whittier,90605,"10130 South Gunn Avenue, Whittier, CA  90605",562-698-7645,,,G,C,,L,S,14.60519391,14.61,1,0,1,0,0,0,0,4,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,6,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,1,12,4,0,0,1,0,0,0,1,1,3,0,0,33.94262137,-118.03519279,1,,0,2,0,,Gunn Park,Southeast District,Unincorporated,636200.274414063,3688.97434874246
5898,AMAR,16435,Allen J. Martin Park,1,Martin Park,14830,East Giordano Street,La Puente,91744,"14830 East Giordano Street, La Puente, CA  91744",626-918-5263,,,ESGV,NH,,L,E,6.83029036,6.83,1,0,0,0,0,0,0,2,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,34.03967289,-117.96223162,1,,0,0,0,,"North Puente Park, Valinda Park, Diamond Park",San Gabriel Valley District,Unincorporated,297526.520507813,2214.78991195792
5899,AGC,44523,Alondra Golf Course,2,Alondra Golf Course,16400,Prairie Avenue,Lawndale,90260,"16400 South Prairie Avenue, Lawndale, CA  90260",310-217-9919,,,SB,SU,G,R,G,150.49617799,150.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.88265486,-118.3398328,0,0,0,5,0,1,,No District,Unincorporated,6555593.09082031,11062.2053501565
5900,ALPI,45699,Alpine Butte Wildlife Sanctuary,5,Alpine Butte Wildlife Sanctuary,,E Avenue O and Longview Rd,Palmdale,93591," E Avenue O and Longview Rd, Palmdale, CA  93591",661-944-6881,,,AV,SU,S,R,R,323.23902878,323.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.60922048,-117.89436614,0,0,0,0,0,,,No District,Unincorporated,14080248.2197266,15878.2853654695
5901,ALGC,6971,Altadena Golf Course,5,Altadena Golf Course,1456,East Mendocino Street,Altadena,91001,"1456 East Mendocino Street, Altadena, CA  91001",626-797-3821,,,WSGV,SU,G,R,G,57.764935,57.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.18256118,-118.11954218,0,0,0,0,0,1,,No District,Unincorporated,2516232.734375,6793.00510559148
5902,MAYB,17115,Amelia Mayberry Park,4,Mayberry Park,13201,East Meyer Road,Whittier,90605,"13201 East Meyer Road, Whittier, CA  90605",562-944-9727,,562-944-8483,G,C,,L,S,14.43633264,14.44,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,15,1,0,0,1,1,2,2,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,34,8,0,2,1,0,0,0,1,1,2,0,0,33.93023449,-118.05055317,1,,0,0,0,,South Whittier Park,Southeast District,Unincorporated,628844.690429688,3475.29751943317
5903,AMIG,44426,Amigo Park,4,Amigo Park,5700,South Juarez Avenue,Whittier,90606,"5700 South Juarez Avenue, Whittier, CA  90606",562-908-4702,,,G,NH,,L,S,4.780379,4.780379,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,2,0,0,0,0,0,0,0,1,2,0,0,33.99930167,-118.06912949,1,,0,0,0,,Jim Town Park,Southeast District,City of Pico Rivera,208232.657226563,2970.70389779434
5904,APOL,17972,Apollo Community Regional Park,5,Apollo Community Regional Park,4555,West Avenue G,Lancaster,93534,"4555 West Avenue G, Lancaster, CA  93534",661-940-7701,,,AV,CR,,R,N,54.48635431,54.49,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,34.74227592,-118.20039542,0,0,1,4,0,,,Antelope Valley District,City of Lancaster,2373418.20117188,6256.8883582176
