City,food,agriculture,garden,farm,fruit,vegetable,animal,soil,remediation,contaminate,sustainability,climate,environment,health,safety,justice
Agoura Hills,2,0,0,2,0,0,4,17,1,1,11,49,36,28,83,1
Alhambra,10,1,9,1,0,1,1,16,1,0,2,43,33,85,62,22
Arcadia,16,2,15,10,0,0,1,8,0,0,73,9,54,82,136,0
Artesia,13,6,1,7,0,0,3,10,0,1,62,51,40,70,69,0
Avalon,14,4,9,2,0,0,9,18,1,0,2,17,39,55,77,0
Azusa,9,5,2,0,0,0,1,5,0,0,1,6,251,35,45,0
Baldwin Park,63,16,26,5,5,0,1,12,0,0,77,26,63,196,105,0
Bell Gardens,10,5,1,4,0,0,3,14,5,0,2,6,27,67,112,7
Bell,6,4,6,9,0,0,3,11,2,0,131,6,28,162,166,7
Bellflower,17,10,4,10,0,0,11,11,3,0,0,75,36,69,208,4
Beverly Hills,38,4,9,6,2,0,6,37,2,0,66,179,67,181,242,21
Bradbury,6,20,2,9,1,0,17,49,0,1,7,219,75,172,404,0
Burbank,9,7,1,2,0,0,6,8,1,1,27,72,44,86,114,8
Calabasas,7,2,0,0,0,0,7,18,0,1,6,5,81,59,100,0
Camarillo,20,81,4,130,20,11,13,48,23,2,1,21,117,128,233,1
Carson,40,11,4,7,0,0,17,40,20,0,12,57,92,201,102,40
Cerritos,4,6,2,12,0,0,7,9,1,0,5,9,99,70,137,0
Claremont,5,8,18,0,1,0,8,16,0,2,39,8,67,45,120,3
Clearlake,8,5,0,0,0,0,4,5,1,0,2,10,24,74,61,8
Commerce,0,1,0,4,0,0,2,6,1,0,1,0,24,193,361,39
Compton,30,8,10,11,0,0,3,15,1,0,2,9,69,309,157,1
Cotati,51,12,3,4,1,0,2,6,0,1,7,4,20,99,75,0
Covina,8,9,0,3,0,0,13,64,10,0,0,10,52,78,332,2
Cudahy,2,7,0,0,0,0,0,9,1,0,15,9,25,22,63,9
Culver City,3,4,5,10,0,0,2,26,1,0,0,3,40,65,204,4
