City,"('food', 'soil')","('food', 'remediation')","('food', 'sustainability')","('food', 'climate')","('food', 'environment')","('food', 'safety')","('food', 'justice')","('food', 'public')","('food', 'residential')","('garden', 'soil')","('garden', 'remediation')","('garden', 'sustainability')","('garden', 'climate')","('garden', 'environment')","('garden', 'safety')","('garden', 'justice')","('garden', 'public')","('garden', 'residential')","('farm', 'soil')","('farm', 'remediation')","('farm', 'sustainability')","('farm', 'climate')","('farm', 'environment')","('farm', 'safety')","('farm', 'justice')","('farm', 'public')","('farm', 'residential')","('agriculture', 'soil')","('agriculture', 'remediation')","('agriculture', 'sustainability')","('agriculture', 'climate')","('agriculture', 'environment')","('agriculture', 'safety')","('agriculture', 'justice')","('agriculture', 'public')","('agriculture', 'residential')"
Agoura Hills,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0
Alhambra,1,1,0,6,2,12,13,15,0,1,0,1,3,1,0,0,8,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
Arcadia,0,0,2,0,1,3,0,4,6,1,0,1,0,0,4,0,7,5,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,1
Artesia,2,0,5,0,8,0,0,16,1,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,6,11
Avalon,0,0,0,0,0,3,0,11,6,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
Azusa,1,0,0,1,12,1,0,9,12,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,4
Baldwin Park,1,0,37,6,4,9,0,58,3,0,0,10,0,4,0,0,24,82,0,0,2,0,0,0,0,6,0,0,0,18,1,1,13,0,21,2
Bell Gardens,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,5,2
Bell,0,2,12,4,3,1,0,2,5,0,0,0,0,0,0,0,0,3,0,0,0,2,5,5,0,5,19,4,1,2,0,1,1,0,3,4
Bellflower,0,0,0,14,4,10,0,13,8,0,0,0,0,0,3,0,2,8,1,0,0,0,0,4,0,2,11,0,0,0,0,3,2,0,5,13
Beverly Hills,0,0,7,32,5,15,13,41,6,0,0,4,0,0,2,0,14,2,0,0,0,1,0,4,0,0,2,1,0,0,7,1,4,0,4,0
Bradbury,0,0,0,3,0,4,0,1,0,0,0,0,2,4,3,0,0,4,0,0,0,1,1,3,0,6,1,1,0,3,4,5,0,0,34,48
Burbank,0,0,0,6,1,0,0,12,2,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,1,7,1,0,0,7,5
Calabasas,0,0,1,0,2,1,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Camarillo,3,0,0,0,6,9,0,22,10,0,0,0,0,3,0,0,1,8,10,0,0,0,2,9,0,76,11,12,0,0,3,18,14,0,56,20
Carson,6,2,2,23,16,20,7,47,9,0,0,0,4,0,0,0,2,0,4,4,1,0,1,7,0,10,0,4,4,2,1,4,6,3,23,4
Cerritos,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,25,0,0,0,0,0,1,0,12,8
Claremont,0,0,0,2,3,0,0,1,0,1,0,0,0,3,0,0,18,20,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,7,3
Clearlake,0,0,0,0,1,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7
Commerce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0
Compton,0,0,0,0,10,4,1,21,26,0,0,0,0,5,2,0,5,1,1,0,0,1,5,0,0,1,15,6,0,0,1,5,0,0,4,42
Cotati,2,0,1,0,19,24,0,69,23,0,0,0,0,0,2,0,4,2,0,0,0,0,2,4,0,6,4,0,0,1,0,6,8,0,10,8
Covina,0,0,0,0,0,2,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,2,0,1,1
Cudahy,3,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,2,4,0,15,3
Culver City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,6,0
Diamond Bar,0,0,31,19,11,16,35,66,23,0,0,2,0,0,0,2,6,1,0,0,0,0,3,0,0,1,25,1,0,3,0,2,5,9,18,7
Downey,1,0,0,0,0,5,0,22,13,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,3,1
Duarte,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6,0,7,3
El Monte,0,1,0,13,287,1,11,107,52,1,0,0,0,6,0,0,8,1,1,0,0,0,4,0,0,17,2,3,0,0,0,6,2,0,7,4
El Segundo,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,10
Filmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,10,1,0,0,0,4,3,0,14,51
Fort Bragg,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,10
Glendale,3,0,0,0,10,6,1,6,2,0,0,0,0,0,4,0,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5
Hawaiian Gardens,0,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3
Hawthorne,2,0,0,4,10,6,94,54,12,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,3,4
