use_no, field_name, old_value, new_value, error_id
4161845, ACRE_PLANTED, 59, 73, 158117
4155005, LBS_PRD_USED, 21.861, 21.861, 157186
4155005, AMT_PRD_USED, 296.7, 2.3188, 157186
4155011, LBS_PRD_USED, 1.3653, 1.3653, 157187
4155011, AMT_PRD_USED, .8, .1484, 157187
4158419, AMT_PRD_USED, 2653.12, 515.0489, 157613
4207390, LBS_PRD_USED, .2296, .2296, 166221
4155683, LBS_PRD_USED, 1.5218, 1.5218, 157252
4155683, AMT_PRD_USED, 4333, .1507, 157252
4155684, LBS_PRD_USED, 1.5218, 1.5218, 157253
4155684, AMT_PRD_USED, 14282, .1493, 157253
4155686, LBS_PRD_USED, .0782, .0782, 157255
4155686, AMT_PRD_USED, 72000, .0782, 157255
4155687, LBS_PRD_USED, .0824, .0824, 157256
4155687, AMT_PRD_USED, 14000, .0824, 157256
1466988, TOWNSHIP, 00, ?, 53526
1466988, RANGE, 00, ?, 53527
1466989, TOWNSHIP, 00, ?, 53528
1466989, RANGE, 00, ?, 53529
1466990, RANGE, 00, ?, 53531
1466991, TOWNSHIP, 00, ?, 53532
1466991, RANGE, 00, ?, 53533
1466992, TOWNSHIP, 00, ?, 53534
1466992, RANGE, 00, ?, 53535
1466993, TOWNSHIP, 00, ?, 53536
1466993, RANGE, 00, ?, 53537
1466994, TOWNSHIP, 00, ?, 53538
1466994, RANGE, 00, ?, 53539
1467006, TOWNSHIP, 00, ?, 53549
1467006, RANGE, 00, ?, 53550
1467006, LBS_PRD_USED, .0038, .0038, 53551
1467006, AMT_PRD_USED, 14, .0512, 53551
1467007, TOWNSHIP, 00, ?, 53552
1467007, RANGE, 00, ?, 53553
1467007, LBS_PRD_USED, .0515, .0515, 53554
1467007, AMT_PRD_USED, 128, .64, 53554
1467008, TOWNSHIP, 00, ?, 53555
1467008, RANGE, 00, ?, 53556
1467009, TOWNSHIP, 00, ?, 53558
1467009, RANGE, 00, ?, 53559
1467009, LBS_PRD_USED, .0186, .0186, 53560
1467009, AMT_PRD_USED, 64, .32, 53560
1467010, TOWNSHIP, 00, ?, 53561
1467010, RANGE, 00, ?, 53562
1467011, TOWNSHIP, 00, ?, 53563
1467011, RANGE, 00, ?, 53564
1467012, TOWNSHIP, 00, ?, 53565
1467012, RANGE, 00, ?, 53566
1467013, TOWNSHIP, 00, ?, 53567
1467013, RANGE, 00, ?, 53568
1467014, TOWNSHIP, 00, ?, 53569
1467014, RANGE, 00, ?, 53570
1467015, TOWNSHIP, 00, ?, 53571
1467015, RANGE, 00, ?, 53572
4149335, ACRE_PLANTED, 8.29, 9, 154743
4149313, ACRE_PLANTED, 15, 40, 154721
4149276, ACRE_PLANTED, 59.6, 60.75, 154684
4169820, ACRE_PLANTED, 75, 77.8, 160562
4169824, ACRE_PLANTED, 190, 200, 160567
4149314, ACRE_PLANTED, 15, 40, 154722
4149319, ACRE_PLANTED, 200.1, 277, 154727
4149321, ACRE_PLANTED, 18, 42, 154729
4149466, ACRE_PLANTED, 72.5, 170, 154760
1876019, LBS_PRD_USED, 5.7347, 5.7347, 68893
1876019, AMT_PRD_USED, 281.6, .7568, 68893
1876024, LBS_PRD_USED, 46.9205, 46.9205, 68894
1876024, AMT_PRD_USED, 2304, 6.1918, 68894
2236490, AMT_PRD_USED, 480.6, 4.3796, 81271
2236667, ACRE_TREATED, .35, 1.28, 81280
4149324, ACRE_PLANTED, 72.5, 170, 154732
4149325, ACRE_PLANTED, 72.5, 170, 154733
4149326, ACRE_PLANTED, 25, 92, 154734
4149327, ACRE_PLANTED, 28, 31, 154735
4149328, ACRE_PLANTED, 8.29, 9, 154736
4149329, ACRE_PLANTED, 27, 32, 154737
4149330, ACRE_PLANTED, 27, 32, 154738
1466996, RANGE, 00, ?, 53543
4168655, LBS_PRD_USED, 4.7965, 4.7965, 160247
4168655, AMT_PRD_USED, 20, .5484, 160247
4170179, LBS_PRD_USED, 4.2773, 4.2773, 160838
4170179, AMT_PRD_USED, 180, .5549, 160838
4208449, ACRE_PLANTED, 10.5, 10.57, 166329
4169170, ACRE_PLANTED, 22.41, 22.5, 160379
4169163, ACRE_PLANTED, 13, 14, 160372
4169174, ACRE_PLANTED, 53, 60, 160383
4169142, ACRE_PLANTED, 115, 125, 160350
4169180, ACRE_PLANTED, 26.2, 26.46, 160391
4169181, ACRE_PLANTED, 26.2, 26.46, 160392
4169186, ACRE_PLANTED, 28.35, 31, 160397
4169188, ACRE_PLANTED, 22.41, 22.5, 160399
4169193, ACRE_PLANTED, 13, 14, 160404
4169195, ACRE_PLANTED, 53, 60, 160406
4169198, ACRE_PLANTED, 22.41, 22.5, 160409
4169199, ACRE_PLANTED, 22.41, 22.5, 160410
4169201, ACRE_PLANTED, .5, 1, 160412
4169206, ACRE_PLANTED, 22.41, 22.5, 160417
4169218, ACRE_PLANTED, 22.6, 22.63, 160430
4169245, ACRE_PLANTED, 23, 23.7, 160459
4169232, ACRE_PLANTED, 22.6, 22.63, 160444
4169246, ACRE_PLANTED, 23, 23.7, 160460
4169283, ACRE_PLANTED, 22.41, 22.5, 160497
4149493, ACRE_PLANTED, 9, 10.73, 154777
4149494, ACRE_PLANTED, 43, 44, 154778
4149495, ACRE_PLANTED, 43, 44, 154779
4149496, ACRE_PLANTED, 72.5, 170, 154780
4149497, ACRE_PLANTED, 72.5, 170, 154781
4149464, ACRE_PLANTED, 39, 44, 154758
4149465, ACRE_PLANTED, 39, 44, 154759
2234963, ACRE_TREATED, 763, 651.5, 81249
4149473, ACRE_PLANTED, 77.1, 77.56, 154766
4149474, ACRE_PLANTED, 9.9, 10, 154767
4149475, ACRE_PLANTED, 78, 700, 154768
4149485, ACRE_PLANTED, 39, 44, 154769
4149486, ACRE_PLANTED, 9, 10.73, 154770
4149487, ACRE_PLANTED, 10, 11.9, 154771
4149488, ACRE_PLANTED, 9, 10.73, 154772
2248227, LBS_PRD_USED, .0928, .0928, 81654
1466995, TOWNSHIP, 00, ?, 53540
4166565, ACRE_PLANTED, 6, 18, 159744
4166571, ACRE_PLANTED, 15.5, 22, 159749
4166572, ACRE_PLANTED, 18, 21, 159750
4166576, ACRE_PLANTED, 11.75, 21.3, 159754
4166600, ACRE_PLANTED, 27, 28, 159779
4161666, ACRE_PLANTED, 20, 47.6, 158064
4158917, LBS_PRD_USED, .0019, .0019, 157863
4158917, AMT_PRD_USED, 10.7733, .0256, 157863
4158950, LBS_PRD_USED, .0104, .0104, 157866
4158950, AMT_PRD_USED, 58.48, .1377, 157866
4159023, LBS_PRD_USED, .0052, .0052, 157875
4159023, AMT_PRD_USED, 26.8, .0692, 157875
4159074, LBS_PRD_USED, .0064, .0064, 157881
4159074, AMT_PRD_USED, 33.9, .0848, 157881
4159122, LBS_PRD_USED, .007, .007, 157884
4159122, AMT_PRD_USED, 35.173, .0928, 157884
4159208, LBS_PRD_USED, .0077, .0077, 157892
4159208, AMT_PRD_USED, 35.693, .1025, 157892
4159242, LBS_PRD_USED, .0002, .0002, 157894
4159242, AMT_PRD_USED, .7, .0027, 157894
4159265, LBS_PRD_USED, .001, .001, 157895
4159265, AMT_PRD_USED, 5.068, .0128, 157895
1466990, TOWNSHIP, 00, ?, 53530
1467313, RANGE, 00, ?, 53839
1467366, RANGE, 00, ?, 53891
1466997, TOWNSHIP, 00, ?, 53544
1466995, RANGE, 00, ?, 53541
1467241, TOWNSHIP, 00, ?, 53765
1467309, TOWNSHIP, 00, ?, 53830
4149111, ACRE_PLANTED, .75, .8, 154641
4149112, ACRE_PLANTED, .75, .8, 154642
4149113, ACRE_PLANTED, .75, .8, 154643
4149114, ACRE_PLANTED, .75, .8, 154644
4148875, ACRE_PLANTED, .75, .8, 154634
4148877, ACRE_PLANTED, .75, .8, 154635
4148878, ACRE_PLANTED, .75, .8, 154636
4148879, ACRE_PLANTED, .75, 4.5, 154637
4161594, AMT_PRD_USED, 4950.4, 9.8468, 158022
4161636, LBS_PRD_USED, 20.748, 20.748, 158046
4161694, ACRE_PLANTED, 46, 51.4, 158081
4161697, ACRE_PLANTED, 60, 80, 158084
4161631, LBS_PRD_USED, 93.3658, 93.3658, 158044
4161839, ACRE_PLANTED, 59, 80, 158111
