Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B17008_001,SE_B17008_002,SE_B17008_003,SE_B17008_004,SE_B17008_005,SE_B17008_006,SE_B17008_007,SE_B17008_008,SE_B17008_009,SE_B17008_010,SE_B17008_011,SE_B17008_012,SE_B17008_013,SE_B17008_014,PCT_SE_B17008_002,PCT_SE_B17008_003,PCT_SE_B17008_004,PCT_SE_B17008_005,PCT_SE_B17008_006,PCT_SE_B17008_007,PCT_SE_B17008_008,PCT_SE_B17008_009,PCT_SE_B17008_010,PCT_SE_B17008_011,PCT_SE_B17008_012,PCT_SE_B17008_013,PCT_SE_B17008_014
"06107000101","Census Tract 1.01, Tulare County, California","ACSSF","ca","140","00","0011564",,,,,"06","107",,,"000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000101","Census Tract 1.01",,,,1125,360,320,0,49,14,20,42,46,150,0,54,45,25,32,28.44,0,4.36,1.24,1.78,3.73,4.09,13.33,0,4.8,4,2.22
"06107000102","Census Tract 1.02, Tulare County, California","ACSSF","ca","140","00","0011565",,,,,"06","107",,,"000102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000102","Census Tract 1.02",,,,919,160,114,0,0,43,113,0,80,109,110,60,50,80,17.41,12.4,0,0,4.68,12.3,0,8.71,11.86,11.97,6.53,5.44,8.71
"06107000202","Census Tract 2.02, Tulare County, California","ACSSF","ca","140","00","0011566",,,,,"06","107",,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000202","Census Tract 2.02",,,,834,79,21,66,0,4,0,11,71,29,356,27,51,119,9.47,2.52,7.91,0,0.48,0,1.32,8.51,3.48,42.69,3.24,6.12,14.27
"06107000203","Census Tract 2.03, Tulare County, California","ACSSF","ca","140","00","0011567",,,,,"06","107",,,"000203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000203","Census Tract 2.03",,,,1744,133,101,151,0,27,111,11,54,158,372,377,41,208,7.63,5.79,8.66,0,1.55,6.36,0.63,3.1,9.06,21.33,21.62,2.35,11.93
"06107000204","Census Tract 2.04, Tulare County, California","ACSSF","ca","140","00","0011568",,,,,"06","107",,,"000204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000204","Census Tract 2.04",,,,1658,65,76,0,0,39,48,10,223,291,375,56,272,203,3.92,4.58,0,0,2.35,2.9,0.6,13.45,17.55,22.62,3.38,16.41,12.24
"06107000302","Census Tract 3.02, Tulare County, California","ACSSF","ca","140","00","0011569",,,,,"06","107",,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000302","Census Tract 3.02",,,,1005,81,52,47,0,44,51,4,38,86,372,77,38,115,8.06,5.17,4.68,0,4.38,5.07,0.4,3.78,8.56,37.01,7.66,3.78,11.44
"06107000303","Census Tract 3.03, Tulare County, California","ACSSF","ca","140","00","0011570",,,,,"06","107",,,"000303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000303","Census Tract 3.03",,,,1446,332,178,11,40,139,24,20,138,38,100,101,140,185,22.96,12.31,0.76,2.77,9.61,1.66,1.38,9.54,2.63,6.92,6.98,9.68,12.79
"06107000304","Census Tract 3.04, Tulare County, California","ACSSF","ca","140","00","0011571",,,,,"06","107",,,"000304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000304","Census Tract 3.04",,,,1020,66,190,28,22,27,50,0,20,63,259,42,69,184,6.47,18.63,2.75,2.16,2.65,4.9,0,1.96,6.18,25.39,4.12,6.76,18.04
"06107000401","Census Tract 4.01, Tulare County, California","ACSSF","ca","140","00","0011572",,,,,"06","107",,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000401","Census Tract 4.01",,,,2638,215,628,83,95,78,139,119,108,273,144,251,142,363,8.15,23.81,3.15,3.6,2.96,5.27,4.51,4.09,10.35,5.46,9.51,5.38,13.76
"06107000402","Census Tract 4.02, Tulare County, California","ACSSF","ca","140","00","0011573",,,,,"06","107",,,"000402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000402","Census Tract 4.02",,,,3109,123,697,55,0,247,84,35,368,213,630,70,195,392,3.96,22.42,1.77,0,7.94,2.7,1.13,11.84,6.85,20.26,2.25,6.27,12.61
"06107000501","Census Tract 5.01, Tulare County, California","ACSSF","ca","140","00","0011574",,,,,"06","107",,,"000501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000501","Census Tract 5.01",,,,2274,101,211,111,0,63,67,18,156,171,741,175,117,343,4.44,9.28,4.88,0,2.77,2.95,0.79,6.86,7.52,32.59,7.7,5.15,15.08
"06107000502","Census Tract 5.02, Tulare County, California","ACSSF","ca","140","00","0011575",,,,,"06","107",,,"000502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000502","Census Tract 5.02",,,,1714,128,363,25,19,56,33,4,169,146,162,124,135,350,7.47,21.18,1.46,1.11,3.27,1.93,0.23,9.86,8.52,9.45,7.23,7.88,20.42
"06107000600","Census Tract 6, Tulare County, California","ACSSF","ca","140","00","0011576",,,,,"06","107",,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000600","Census Tract 6",,,,2630,250,121,17,14,119,31,9,187,212,788,92,281,509,9.51,4.6,0.65,0.53,4.52,1.18,0.34,7.11,8.06,29.96,3.5,10.68,19.35
"06107000701","Census Tract 7.01, Tulare County, California","ACSSF","ca","140","00","0011577",,,,,"06","107",,,"000701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000701","Census Tract 7.01",,,,931,61,128,14,65,21,35,7,117,25,204,97,69,88,6.55,13.75,1.5,6.98,2.26,3.76,0.75,12.57,2.69,21.91,10.42,7.41,9.45
"06107000702","Census Tract 7.02, Tulare County, California","ACSSF","ca","140","00","0011578",,,,,"06","107",,,"000702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000702","Census Tract 7.02",,,,2033,70,283,114,52,119,94,0,159,132,298,97,155,460,3.44,13.92,5.61,2.56,5.85,4.62,0,7.82,6.49,14.66,4.77,7.62,22.63
"06107000801","Census Tract 8.01, Tulare County, California","ACSSF","ca","140","00","0011579",,,,,"06","107",,,"000801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000801","Census Tract 8.01",,,,1737,53,277,33,38,95,12,72,188,118,260,245,94,252,3.05,15.95,1.9,2.19,5.47,0.69,4.15,10.82,6.79,14.97,14.1,5.41,14.51
"06107000802","Census Tract 8.02, Tulare County, California","ACSSF","ca","140","00","0011580",,,,,"06","107",,,"000802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000802","Census Tract 8.02",,,,1116,281,139,73,43,52,3,0,50,126,184,72,47,46,25.18,12.46,6.54,3.85,4.66,0.27,0,4.48,11.29,16.49,6.45,4.21,4.12
"06107000901","Census Tract 9.01, Tulare County, California","ACSSF","ca","140","00","0011581",,,,,"06","107",,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000901","Census Tract 9.01",,,,2665,101,191,44,68,187,122,80,218,185,520,429,125,395,3.79,7.17,1.65,2.55,7.02,4.58,3,8.18,6.94,19.51,16.1,4.69,14.82
"06107000902","Census Tract 9.02, Tulare County, California","ACSSF","ca","140","00","0011582",,,,,"06","107",,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107000902","Census Tract 9.02",,,,940,155,115,107,5,32,0,42,109,60,151,104,0,60,16.49,12.23,11.38,0.53,3.4,0,4.47,11.6,6.38,16.06,11.06,0,6.38
"06107001005","Census Tract 10.05, Tulare County, California","ACSSF","ca","140","00","0011583",,,,,"06","107",,,"001005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001005","Census Tract 10.05",,,,1404,172,516,85,114,70,69,20,88,176,3,39,24,28,12.25,36.75,6.05,8.12,4.99,4.91,1.42,6.27,12.54,0.21,2.78,1.71,1.99
"06107001006","Census Tract 10.06, Tulare County, California","ACSSF","ca","140","00","0011584",,,,,"06","107",,,"001006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001006","Census Tract 10.06",,,,2312,272,486,80,0,215,39,133,248,164,140,77,109,349,11.76,21.02,3.46,0,9.3,1.69,5.75,10.73,7.09,6.06,3.33,4.71,15.1
"06107001007","Census Tract 10.07, Tulare County, California","ACSSF","ca","140","00","0011585",,,,,"06","107",,,"001007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001007","Census Tract 10.07",,,,1743,299,905,0,46,97,0,54,63,0,154,0,0,125,17.15,51.92,0,2.64,5.57,0,3.1,3.61,0,8.84,0,0,7.17
"06107001008","Census Tract 10.08, Tulare County, California","ACSSF","ca","140","00","0011586",,,,,"06","107",,,"001008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001008","Census Tract 10.08",,,,2112,431,441,26,144,63,227,0,92,463,0,164,5,56,20.41,20.88,1.23,6.82,2.98,10.75,0,4.36,21.92,0,7.77,0.24,2.65
"06107001009","Census Tract 10.09, Tulare County, California","ACSSF","ca","140","00","0011587",,,,,"06","107",,,"001009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001009","Census Tract 10.09",,,,1641,138,149,67,61,111,62,99,103,125,287,146,143,150,8.41,9.08,4.08,3.72,6.76,3.78,6.03,6.28,7.62,17.49,8.9,8.71,9.14
"06107001010","Census Tract 10.10, Tulare County, California","ACSSF","ca","140","00","0011588",,,,,"06","107",,,"001010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001010","Census Tract 10.10",,,,1433,21,103,33,26,109,154,83,103,106,125,150,211,209,1.47,7.19,2.3,1.81,7.61,10.75,5.79,7.19,7.4,8.72,10.47,14.72,14.58
"06107001011","Census Tract 10.11, Tulare County, California","ACSSF","ca","140","00","0011589",,,,,"06","107",,,"001011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001011","Census Tract 10.11",,,,4169,265,1042,0,103,323,161,69,211,936,0,392,388,279,6.36,24.99,0,2.47,7.75,3.86,1.66,5.06,22.45,0,9.4,9.31,6.69
"06107001012","Census Tract 10.12, Tulare County, California","ACSSF","ca","140","00","0011590",,,,,"06","107",,,"001012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001012","Census Tract 10.12",,,,4622,1236,1501,107,105,272,501,103,101,292,118,286,0,0,26.74,32.48,2.32,2.27,5.88,10.84,2.23,2.19,6.32,2.55,6.19,0,0
"06107001101","Census Tract 11.01, Tulare County, California","ACSSF","ca","140","00","0011591",,,,,"06","107",,,"001101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001101","Census Tract 11.01",,,,753,28,85,78,14,11,33,33,152,87,79,56,48,49,3.72,11.29,10.36,1.86,1.46,4.38,4.38,20.19,11.55,10.49,7.44,6.37,6.51
"06107001102","Census Tract 11.02, Tulare County, California","ACSSF","ca","140","00","0011592",,,,,"06","107",,,"001102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001102","Census Tract 11.02",,,,1457,162,116,75,3,131,166,17,198,27,118,125,140,179,11.12,7.96,5.15,0.21,8.99,11.39,1.17,13.59,1.85,8.1,8.58,9.61,12.29
"06107001200","Census Tract 12, Tulare County, California","ACSSF","ca","140","00","0011593",,,,,"06","107",,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001200","Census Tract 12",,,,414,15,102,10,0,49,6,7,40,74,0,29,15,67,3.62,24.64,2.42,0,11.84,1.45,1.69,9.66,17.87,0,7,3.62,16.18
"06107001303","Census Tract 13.03, Tulare County, California","ACSSF","ca","140","00","0011594",,,,,"06","107",,,"001303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001303","Census Tract 13.03",,,,1694,123,249,16,0,76,167,117,175,431,37,35,64,204,7.26,14.7,0.94,0,4.49,9.86,6.91,10.33,25.44,2.18,2.07,3.78,12.04
"06107001304","Census Tract 13.04, Tulare County, California","ACSSF","ca","140","00","0011595",,,,,"06","107",,,"001304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001304","Census Tract 13.04",,,,1891,280,610,0,87,94,60,28,147,77,171,230,0,107,14.81,32.26,0,4.6,4.97,3.17,1.48,7.77,4.07,9.04,12.16,0,5.66
"06107001305","Census Tract 13.05, Tulare County, California","ACSSF","ca","140","00","0011596",,,,,"06","107",,,"001305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001305","Census Tract 13.05",,,,879,47,61,35,0,119,0,0,72,60,0,217,165,103,5.35,6.94,3.98,0,13.54,0,0,8.19,6.83,0,24.69,18.77,11.72
"06107001306","Census Tract 13.06, Tulare County, California","ACSSF","ca","140","00","0011597",,,,,"06","107",,,"001306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001306","Census Tract 13.06",,,,2618,140,566,132,95,200,67,0,194,438,32,223,230,301,5.35,21.62,5.04,3.63,7.64,2.56,0,7.41,16.73,1.22,8.52,8.79,11.5
"06107001400","Census Tract 14, Tulare County, California","ACSSF","ca","140","00","0011598",,,,,"06","107",,,"001400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001400","Census Tract 14",,,,2287,308,172,38,47,214,38,117,394,310,200,191,61,197,13.47,7.52,1.66,2.06,9.36,1.66,5.12,17.23,13.55,8.75,8.35,2.67,8.61
"06107001501","Census Tract 15.01, Tulare County, California","ACSSF","ca","140","00","0011599",,,,,"06","107",,,"001501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001501","Census Tract 15.01",,,,2097,261,374,46,198,127,117,4,171,181,85,254,104,175,12.45,17.84,2.19,9.44,6.06,5.58,0.19,8.15,8.63,4.05,12.11,4.96,8.35
"06107001502","Census Tract 15.02, Tulare County, California","ACSSF","ca","140","00","0011600",,,,,"06","107",,,"001502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001502","Census Tract 15.02",,,,1816,172,418,121,21,98,97,68,126,86,54,222,199,134,9.47,23.02,6.66,1.16,5.4,5.34,3.74,6.94,4.74,2.97,12.22,10.96,7.38
"06107001601","Census Tract 16.01, Tulare County, California","ACSSF","ca","140","00","0011601",,,,,"06","107",,,"001601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001601","Census Tract 16.01",,,,1896,100,136,65,3,226,133,30,161,111,572,118,72,169,5.27,7.17,3.43,0.16,11.92,7.01,1.58,8.49,5.85,30.17,6.22,3.8,8.91
"06107001602","Census Tract 16.02, Tulare County, California","ACSSF","ca","140","00","0011602",,,,,"06","107",,,"001602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001602","Census Tract 16.02",,,,2327,100,173,203,32,176,118,67,221,231,439,144,171,252,4.3,7.43,8.72,1.38,7.56,5.07,2.88,9.5,9.93,18.87,6.19,7.35,10.83
"06107001701","Census Tract 17.01, Tulare County, California","ACSSF","ca","140","00","0011603",,,,,"06","107",,,"001701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001701","Census Tract 17.01",,,,2627,184,248,124,93,121,242,9,293,206,214,339,357,197,7,9.44,4.72,3.54,4.61,9.21,0.34,11.15,7.84,8.15,12.9,13.59,7.5
"06107001703","Census Tract 17.03, Tulare County, California","ACSSF","ca","140","00","0011604",,,,,"06","107",,,"001703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001703","Census Tract 17.03",,,,3720,474,841,79,102,0,109,128,670,632,0,277,103,305,12.74,22.61,2.12,2.74,0,2.93,3.44,18.01,16.99,0,7.45,2.77,8.2
"06107001705","Census Tract 17.05, Tulare County, California","ACSSF","ca","140","00","0011605",,,,,"06","107",,,"001705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06107001705","Census Tract 17.05",,,,1857,256,366,93,119,0,63,310,132,80,319,50,21,48,13.79,19.71,5.01,6.41,0,3.39,16.69,7.11,4.31,17.18,2.69,1.13,2.58
