use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
3846854,69074,2300,7.9,.0989712,1.2528,.1469,GA,,,,,12,12/01/2021,,17,,,,,,,"","","PR 0001",,,10,0,1705,112,6,C,,
3846919,56729,2171,25.4,.1133348,.4462,7.25,OZ,,,,,,10/01/2021,,17,,,,,,,"","","5549",,,10,0,1705,177,1,C,,
1602740,52302,2008,25,.66375,2.655,42.48,OZ,,,,,,05/01/2021,,17,,,,,,,"","","8569",,,10,0,1706,95,2,C,,
1602832,60889,510,.5,.001708,.3416,6,OZ,,,,,2,04/01/2021,,17,,,,,,,"","","PR 0001",,,10,0,1706,187,18,C,,
1602768,58066,2257,28.7,16.4129273,57.1879,6.5,GA,,,,,,05/01/2021,,17,,,,,,,"","","40293",,,40,0,1706,123,1,C,,
1602799,66131,3995,8.73,.32775912,3.7544,48,OZ,,,,,,05/01/2021,,17,,,,,,,"","","4227",,,10,0,1706,153,25,C,,
1602791,56346,3995,.05,.000011,.022,10,GR,,,,,,05/01/2021,,17,,,,,,,"","","4227",,,10,0,1706,146,15,C,,
4123777,66737,3956,.025,.0003254,1.3016,20,OZ,,,,,,04/01/2021,,17,,,,,,,"","","BR 4019",,,10,0,1706,202,4,C,,
4123777,66737,3849,.05,.0006508,1.3016,20,OZ,,,,,,04/01/2021,,17,,,,,,,"","","BR 4019",,,10,0,1706,202,4,C,,
4123737,71492,2232,.075,.00019845,.2646,120,GR,,,,,,03/01/2021,,17,,,,,,,"","","BR 4019",,,10,0,1706,92,8,C,,
4123754,70524,3956,10.5,.025683,.2446,3.24,OZ,,,,,,02/01/2021,,17,,,,,,,"","","BR 4019",,,10,0,1706,21,4,C,,
1602864,48747,3938,21.45,.3136419,1.4622,19.5,OZ,,,,,,05/01/2021,,17,,,,,,,"","","5596",,,10,0,1706,26,5,C,,
1602685,48097,2297,9.7,.1044981,1.0773,16,OZ,,,,,,05/01/2021,,17,,,,,,,"","","PR 8246",,,10,0,1706,40,5,C,,
2225362,34374,510,6,.03102,.517,8,OZ,,,,,15,07/01/2021,,17,,,,,,,"","","31215",,,10,0,1703,4,3,C,,
1602876,47663,,,,4.5227,79,OZ,,,,,3,05/01/2021,,17,,,,,,,"","","152353",,,30,20,1706,2,2,C,,
1602827,64175,486,8,.004744,.0593,.9,OZ,,,,,6,04/01/2021,,17,,,,,,,"","","PR 0001",,,10,0,1706,182,6,C,,
1602705,52145,510,1,.001058,.1058,.0156,GA,,,,,1,01/01/2021,,17,,,,,,,"","","PR 0001",,,10,0,1706,60,2,C,,
1602754,60889,510,.5,.0093945,1.8789,33,OZ,,,,,6,02/01/2021,,17,,,,,,,"","","PR 0001",,,10,0,1706,109,17,C,,
1602862,43954,2288,.01,.0017,17,272,OZ,,,,,,05/01/2021,,17,,,,,,,"","","5596",,,10,0,1706,24,7,C,,X
1602691,52376,2171,24.8,128.7918064,519.3218,8363,OZ,,,,,,05/01/2021,,17,,,,,,,"","","PR 8246",,,10,0,1706,46,3,C,,X
4123771,70524,3956,10.5,.0085575,.0815,1.08,OZ,,,,,,03/01/2021,,17,,,,,,,"","","BR 4019",,,10,0,1706,90,6,C,,
1602784,28895,510,.5,.013079,2.6158,40.6,OZ,,,,,,05/01/2021,,17,,,,,,,"","","4227",,,10,0,1706,139,3,C,,
2569158,30369,560,98,130.4478,133.11,133.11,LB,24.5,A,11.09,A,1,06/21/2021,0400,17,M,14,N,07,W,28,"OK86B105","17211700105","",,G,29143,0,1704,922,1,A,17M14N07W28,
2568304,52864,5849,72,2.0376,2.83,2.83,LB,15.1,A,15.1,A,1,07/17/2021,0500,17,M,13,N,09,W,22,"KV49D159","17201700159","",,G,29143,0,1704,667,1,A,17M13N09W22,
2568317,67040,560,80,11.2,14,14,LB,7,A,7,A,1,07/19/2021,0100,17,M,13,N,09,W,02,"KV10E159","17201700159","",,G,29143,0,1704,680,1,A,17M13N09W02,
2568465,66160,2291,2,2.08016,104.008,11.32,GA,66.38,A,11.32,A,1,07/19/2021,0100,17,M,14,N,07,W,27,"OK86C105","17211700105","",,G,29143,0,1704,497,2,A,17M14N07W27,
2568628,63468,,,,2.2133,33.02,OZ,127.5,A,5.16,A,1,06/14/2021,0200,17,M,14,N,07,W,28,"OK86A105","17211700105","",,G,29143,0,1704,1073,3,A,17M14N07W28,
2568685,64080,6003,10,1.11732,11.1732,164.8,OZ,264,A,48.47,A,1,07/20/2021,2359,17,M,12,N,08,W,05,"RH36A011","17211700011","",,G,29143,0,1704,802,1,A,17M12N08W05,
2568524,18563,531,40,10.01268,25.0317,2.5,GA,10,A,5,A,1,06/30/2021,1205,17,M,15,N,10,W,12,"UL89E159","17201700159","",,G,4003,0,1704,760,2,A,17M15N10W12,
2568198,61049,401,99,855.116856,863.7544,120,GA,15,A,15,A,1,01/16/2021,0800,17,M,14,N,09,W,34,"KV10H107","17201700107","",,G,4003,0,1704,438,1,A,17M14N09W34,
2569125,49029,2245,40,.312,.78,.78,LB,2.5,A,2.5,A,1,04/22/2021,0100,17,M,14,N,06,W,30,"OK00J584","17211700584","",,G,29143,0,1704,601,2,A,17M14N06W30,
2569284,64941,,,,48.3427,46.05,PT,120.26,A,61.4,A,1,06/02/2021,0100,17,M,10,N,05,W,06,"MT53C010","17211700010","",,G,29143,0,1704,95,2,A,17M10N05W06,
2568160,66160,1794,27.1,29.5805443,109.1533,11.88,GA,47.52,A,47.52,A,1,07/02/2021,0100,17,M,14,N,07,W,22,"OK76A105","17211700105","",,G,29143,0,1704,638,2,A,17M14N07W22,
2568201,70736,151,46.1,22.589,49,49,LB,7,A,7,A,1,02/26/2021,0900,17,M,13,N,09,W,03,"KV17A107","17201700107","",,G,4003,0,1704,441,1,A,17M13N09W03,
2568225,58834,3835,25,.8125,3.25,3.25,LB,13,A,13,A,1,01/26/2021,0100,17,M,14,N,06,W,30,"OK00D584","17211700584","",,G,29143,0,1704,1191,2,A,17M14N06W30,
2568532,70985,3946,24.5,6.994407,28.5486,3.06,GA,14,A,7,A,1,07/13/2021,1000,17,M,15,N,10,W,12,"UL89B159","17201700159","",,G,4003,0,1704,768,1,A,17M15N10W12,
2568878,50827,,,,3.7927,.45,GA,23.03,A,9,A,1,05/17/2021,0400,17,M,13,N,09,W,05,"KV15D123","17211700123","",,G,29143,0,1704,573,3,A,17M13N09W05,
2568282,50828,,,,3.2554,.4,GA,20,A,4,A,1,07/08/2021,0400,17,M,13,N,09,W,05,"KV15C123","17211700123","",,G,29143,0,1704,1011,2,A,17M13N09W05,
2569193,73824,5787,22.58,17.80724282,78.8629,1119.36,OZ,169.6,A,169.6,A,1,06/02/2021,0100,17,M,10,N,05,W,06,"MT53D010","17211700010","",,G,29143,0,1704,1157,1,A,17M10N05W06,
2569226,64941,,,,27.5569,26.25,PT,35,A,35,A,1,06/02/2021,0100,17,M,10,N,06,W,22,"MT65A010","17211700010","",,G,29143,0,1704,393,2,A,17M10N06W22,
